Brand_Acc,createddate,salesid,subtotal,totaldiscount,osschannelid,dwinf_salesactivity,dataareaid,Transaction_ID,Medium,Date,Product_Revenue
B000666299,04MAY2017:00:00:00.000,SO01912974,119.88,132.87,Web,RECR,au,o416646713,organic,04/05/2017,$228.45
B000674904,04MAY2017:00:00:00.000,SO01913050,179.88,209.87,Web,RT,au,o427994609,organic,04/05/2017,$342.80
B000121035,05MAY2017:00:00:00.000,SO01916451,129.99,139.98,Web,RT,au,o191650247,organic,05/05/2017,$247.72
B000648034,06MAY2017:00:00:00.000,SO01916563,179.88,189.87,Web,RT,au,o369962989,organic,06/05/2017,$342.80
B000679201,08MAY2017:00:00:00.000,SO01917448,139.99,119.99,Web,RECR,au,o434979749,organic,08/05/2017,$266.78
B000602254,08MAY2017:00:00:00.000,SO01917453,347.76,312.98,Web,RT,au,o359404183,organic,08/05/2017,$662.72
B000592740,08MAY2017:00:00:00.000,SO01917851,323.76,323.76,Web,RT,au,o331556259,organic,08/05/2017,$616.99
B000425292,08MAY2017:00:00:00.000,SO01917906,139.99,139.99,Web,RECR,au,o190672563,organic,08/05/2017,$266.78
B000676685,08MAY2017:00:00:00.000,SO01918053,139.99,139.99,Web,RECR,au,o430480468,organic,08/05/2017,$266.78
B000679384,08MAY2017:00:00:00.000,SO01918113,139.99,149.98,Web,RECR,au,o435125177,organic,08/05/2017,$266.78
B000677291,08MAY2017:00:00:00.000,SO01918245,155.88,165.87,Web,RT,au,o435451898,organic,09/05/2017,$297.06
B000066769,09MAY2017:00:00:00.000,SO01918307,119.88,129.87,Web,RECR,au,o425351780,organic,09/05/2017,$228.45
B000403814,09MAY2017:00:00:00.000,SO01918531,179.88,189.87,Web,RT,au,o211748325,organic,09/05/2017,$342.80
B000641137,09MAY2017:00:00:00.000,SO01918992,395.76,395.76,Web,RT,au,o362414918,organic,09/05/2017,$754.20
B000679649,09MAY2017:00:00:00.000,SO01919060,119.17,99.17,Web,RECR,au,o435661460,organic,09/05/2017,$266.78
B000414384,10MAY2017:00:00:00.000,SO01919416,503.7,453.33,Web,RT,au,o435932343,organic,10/05/2017,$959.90
B000647779,12MAY2017:00:00:00.000,SO01923686,199.99,209.98,Web,RT,au,o422216781,organic,12/05/2017,$381.12
B000563275,13MAY2017:00:00:00.000,SO01923991,335.76,335.76,Web,RT,au,o364001670,organic,13/05/2017,$639.85
B000336304,14MAY2017:00:00:00.000,SO01924116,139.99,139.99,Web,RECR,au,o425687536,organic,14/05/2017,$266.78
B000111771,15MAY2017:00:00:00.000,SO01924497,139.99,139.99,Web,RECR,au,o437985659,organic,15/05/2017,$266.78
B000308976,15MAY2017:00:00:00.000,SO01924715,359.76,359.76,Web,RT,au,o438090815,organic,15/05/2017,$685.59
B000681157,15MAY2017:00:00:00.000,SO01925208,139.99,119.99,Web,RECR,au,o438187346,organic,15/05/2017,$266.78
B000114842,15MAY2017:00:00:00.000,SO01925696,139.99,139.99,Web,RECR,au,o319745220,organic,15/05/2017,$266.78
B000270909,16MAY2017:00:00:00.000,SO01927526,187.35,178.61,Web,RT,au,o292642108,organic,16/05/2017,$357.03
B000684010,18MAY2017:00:00:00.000,SO01929722,139.99,139.99,Web,RECR,au,o439951962,organic,18/05/2017,$266.78
B000190651,18MAY2017:00:00:00.000,SO01929910,227.88,237.87,Web,RT,au,o438529177,organic,18/05/2017,$434.27
B000665475,19MAY2017:00:00:00.000,SO01931933,139.99,139.99,Web,RECR,au,o423943929,organic,19/05/2017,$266.78
B000684355,19MAY2017:00:00:00.000,SO01932093,139.99,139.99,Web,RECR,au,o440491730,organic,19/05/2017,$266.78
B000684364,19MAY2017:00:00:00.000,SO01932114,139.99,139.99,Web,RECR,au,o440476599,organic,19/05/2017,$266.78
B000280099,20MAY2017:00:00:00.000,SO01932621,139.99,139.99,Web,RECR,au,o225003198,organic,20/05/2017,$266.78
B000533299,20MAY2017:00:00:00.000,SO01932953,237.87,237.87,Web,RT,au,o344686254,organic,20/05/2017,$453.31
