Transaction ID,Medium,Date,Product Revenue
o413220442,organic,22/05/2017,$342.80 
o1290143707,organic,14/10/2018,$342.80 
o330599956,organic,6/03/2017,$342.80 
o458501769,organic,1/09/2017,$342.80 
o1093940497,organic,7/11/2018,$342.80 
o254457161,organic,11/03/2018,$342.80 
o669580894,organic,14/11/2018,$342.80 
o644735288,organic,4/05/2018,$342.80 
o246079686,organic,27/10/2018,$342.80 
o710941596,organic,22/03/2018,$342.74 
o1200720151,organic,24/09/2018,$342.74 
o519549889,organic,12/08/2017,$337.19 
o708724552,organic,15/04/2018,$331.36 
o1078702135,organic,19/10/2018,$331.36 
o459827147,organic,29/07/2017,$330.45 
o895810554,organic,4/05/2018,$325.64 
o625890745,organic,2/02/2018,$319.93 
o534967105,organic,24/08/2017,$319.93 
o393811900,organic,28/09/2017,$319.93 
o1246514239,organic,4/09/2018,$319.93 
o493424819,organic,7/07/2018,$319.93 
o710936742,organic,12/01/2018,$319.93 
o811872782,organic,5/05/2018,$319.93 
o1110379255,organic,15/08/2018,$319.93 
o561409240,organic,26/09/2017,$319.93 
o856209407,organic,5/07/2018,$319.93 
o835748548,organic,14/11/2018,$308.49 
o549431505,organic,23/10/2017,$308.49 
o640861328,organic,2/02/2018,$308.49 
o584537764,organic,20/11/2017,$308.49 
o413457466,organic,27/04/2017,$308.49 
o512719736,organic,20/10/2017,$308.49 
o484488258,organic,9/11/2017,$308.49 
o283881873,organic,10/07/2017,$308.49 
o559317773,organic,12/09/2017,$308.49 
o433968928,organic,7/10/2017,$308.49 
o1017670463,organic,12/06/2018,$308.49 
o752854683,organic,27/06/2018,$308.49 
o1612877300,organic,22/11/2018,$304.89 
o987624611,organic,7/08/2018,$297.06 
o440622078,organic,29/06/2017,$297.06 
o435451898,organic,9/05/2017,$297.06 
o528722710,organic,15/04/2018,$297.06 
o389029699,organic,10/10/2017,$297.06 
o435961560,organic,14/02/2018,$297.06 
o1246018523,organic,13/11/2018,$297.06 
o1563808305,organic,11/11/2018,$297.06 
o443536027,organic,25/05/2017,$297.06 
o135784914,organic,9/11/2017,$285.85 
o292093091,organic,24/04/2018,$285.83 
o1215838154,organic,13/11/2018,$285.83 
o1012231739,organic,10/06/2018,$285.83 
o838525170,organic,6/07/2018,$285.83 
o1212148492,organic,2/09/2018,$285.83 
o1031396067,organic,20/11/2018,$285.83 
o369227942,organic,10/04/2018,$285.83 
o197052195,organic,7/01/2018,$285.74 
o811462475,organic,7/03/2018,$285.74 
o457822687,organic,6/10/2017,$285.74 
o844292009,organic,27/03/2018,$285.74 
o270952393,organic,25/01/2018,$285.74 
o447376017,organic,23/08/2017,$285.62 
o241564633,organic,1/03/2017,$285.62 
o499563312,organic,27/08/2017,$285.62 
o1254039583,organic,29/08/2018,$266.78 
o449486138,organic,4/06/2017,$266.78 
o492760357,organic,19/07/2017,$266.78 
o832925669,organic,19/03/2018,$266.78 
o1080541944,organic,5/07/2018,$266.78 
o486857275,organic,15/07/2017,$266.78 
o946869777,organic,16/05/2018,$266.78 
o610519327,organic,1/11/2017,$266.78 
o440491730,organic,19/05/2017,$266.78 
o1057188048,organic,26/06/2018,$266.78 
o1231256992,organic,23/08/2018,$266.78 
o445281755,organic,28/05/2017,$266.78 
o1270951176,organic,3/09/2018,$266.78 
o547024830,organic,3/09/2017,$266.78 
o1269428426,organic,3/09/2018,$266.78 
o880449548,organic,16/04/2018,$266.78 
o459227760,organic,17/06/2017,$266.78 
o898490315,organic,24/07/2018,$266.78 
o533807945,organic,23/08/2017,$266.78 
o423943929,organic,19/05/2017,$266.78 
o364854671,organic,30/07/2017,$266.78 
o802772522,organic,27/10/2018,$266.78 
o594563837,organic,20/10/2017,$266.78 
o918440844,organic,4/05/2018,$266.78 
o533885728,organic,23/08/2017,$266.78 
o591897229,organic,18/10/2017,$266.78 
o597334957,organic,22/10/2017,$266.78 
o837246402,organic,22/03/2018,$266.78 
o1282321306,organic,6/09/2018,$266.78 
o1419555740,organic,11/10/2018,$266.78 
o1192930222,organic,12/08/2018,$266.78 
o177861010,organic,4/06/2017,$266.78 
o884175016,organic,6/08/2018,$266.78 
o686219728,organic,26/12/2017,$266.78 
o1537327924,organic,5/11/2018,$266.78 
o951444850,organic,18/05/2018,$266.78 
o846241935,organic,2/07/2018,$266.78 
o594387900,organic,21/06/2018,$266.78 
o519367221,organic,12/08/2017,$266.78 
o1005767271,organic,8/06/2018,$266.78 
o1282418991,organic,19/09/2018,$266.78 
o446460344,organic,30/05/2017,$266.78 
o431757928,organic,7/08/2017,$266.78 
o1040822550,organic,21/06/2018,$266.78 
o517370235,organic,12/01/2018,$266.78 
o1302104247,organic,11/09/2018,$266.78 
o761110485,organic,7/02/2018,$266.78 
o434979749,organic,8/05/2017,$266.78 
o786399528,organic,26/03/2018,$266.78 
o1351456359,organic,24/09/2018,$266.78 
o1100872245,organic,13/07/2018,$266.78 
o442569315,organic,23/05/2017,$266.78 
o419224655,organic,30/05/2017,$266.78 
o1263289360,organic,1/09/2018,$266.78 
o436465193,organic,26/03/2018,$266.78 
o1271426601,organic,3/09/2018,$266.78 
o1156385618,organic,3/09/2018,$266.78 
o481738495,organic,11/07/2017,$266.78 
o1603969062,organic,20/11/2018,$266.78 
o522112409,organic,14/08/2017,$266.78 
o524579019,organic,7/04/2018,$266.78 
o414904999,organic,19/09/2017,$266.78 
o448391238,organic,2/06/2017,$266.78 
o656228080,organic,14/12/2017,$266.78 
o1302108501,organic,16/09/2018,$266.78 
o440476599,organic,19/05/2017,$266.78 
o487747452,organic,3/08/2017,$266.78 
o628307244,organic,16/11/2017,$266.78 
o764812729,organic,9/02/2018,$266.78 
o396611669,organic,1/05/2017,$266.78 
o341598112,organic,10/06/2017,$266.78 
o425687536,organic,14/05/2017,$266.78 
o847243113,organic,29/03/2018,$266.78 
o1334108224,organic,19/09/2018,$266.78 
o437466742,organic,12/06/2017,$266.78 
o534562877,organic,24/08/2017,$266.78 
o609913488,organic,31/10/2017,$266.78 
o471344727,organic,1/07/2017,$266.78 
o752810384,organic,2/02/2018,$266.78 
o895634809,organic,24/04/2018,$266.78 
o1036323581,organic,19/06/2018,$266.78 
o591487807,organic,18/10/2017,$266.78 
o1235275864,organic,31/10/2018,$266.78 
o468976965,organic,4/02/2018,$266.78 
o665007938,organic,13/12/2017,$266.78 
o1016852155,organic,19/10/2018,$266.78 
o576006159,organic,3/10/2017,$266.78 
o559944745,organic,13/09/2017,$266.78 
o996419562,organic,28/07/2018,$266.78 
o429450755,organic,25/04/2017,$266.78 
o528170236,organic,20/08/2017,$266.78 
o439951962,organic,18/05/2017,$266.78 
o177714451,organic,31/07/2018,$266.78 
o607751631,organic,29/10/2017,$266.78 
o530073581,organic,21/08/2017,$266.78 
o1297235001,organic,1/10/2018,$266.78 
o514366784,organic,8/08/2017,$266.78 
o355579343,organic,11/06/2017,$266.78 
o1137834760,organic,26/07/2018,$266.78 
o774773189,organic,14/02/2018,$266.78 
o1182457778,organic,9/08/2018,$266.78 
o560746578,organic,21/09/2017,$266.78 
o489189537,organic,17/07/2017,$266.78 
o1589756536,organic,17/11/2018,$266.78 
o1186810554,organic,10/08/2018,$266.78 
o654933396,organic,18/03/2018,$266.78 
o595852506,organic,21/10/2017,$266.78 
o779569496,organic,11/11/2018,$266.78 
o532668949,organic,22/08/2017,$266.78 
o298756980,organic,31/08/2017,$266.78 
o1337017642,organic,20/09/2018,$266.78 
o1156130547,organic,1/08/2018,$266.78 
o462410234,organic,8/04/2018,$266.78 
o544489579,organic,17/11/2017,$266.78 
o824197667,organic,29/07/2018,$266.78 
o424607507,organic,10/04/2017,$266.78 
o480583637,organic,10/07/2017,$266.78 
o1107633157,organic,10/11/2018,$266.78 
o341863855,organic,16/09/2017,$266.78 
o423651452,organic,25/08/2017,$266.78 
o497933701,organic,24/07/2017,$266.78 
o202340443,organic,5/09/2017,$266.78 
o603187991,organic,26/10/2017,$266.78 
o432237030,organic,2/05/2017,$266.78 
o423635758,organic,5/09/2017,$266.78 
o1148850162,organic,30/07/2018,$266.78 
o190672563,organic,8/05/2017,$266.78 
o1036506495,organic,19/06/2018,$266.78 
o945229245,organic,14/08/2018,$266.78 
o599951865,organic,12/04/2018,$266.78 
o1125585830,organic,22/07/2018,$266.78 
o1540379320,organic,6/11/2018,$266.78 
o286710288,organic,21/06/2017,$266.78 
o609937499,organic,31/10/2017,$266.78 
o1293511717,organic,19/10/2018,$266.78 
o1211549772,organic,17/08/2018,$266.78 
o859368511,organic,5/04/2018,$266.78 
o319745220,organic,15/05/2017,$266.78 
o590240314,organic,17/10/2017,$266.78 
o491003258,organic,18/07/2017,$266.78 
o510319413,organic,4/08/2017,$266.78 
o615693704,organic,10/02/2018,$266.78 
o447491698,organic,1/06/2017,$266.78 
o233440016,organic,6/09/2018,$266.78 
o463208219,organic,22/06/2017,$266.78 
o745687758,organic,29/01/2018,$266.78 
o403589755,organic,21/10/2017,$266.78 
o469994798,organic,4/08/2017,$266.78 
o1358389051,organic,26/09/2018,$266.78 
o461813516,organic,20/06/2017,$266.78 
o430811666,organic,2/02/2018,$266.78 
o449670239,organic,4/06/2017,$266.78 
o422559776,organic,3/04/2017,$266.78 
o474486909,organic,4/07/2017,$266.78 
o788616401,organic,22/02/2018,$266.78 
o526515714,organic,18/08/2017,$266.78 
o469711843,organic,14/08/2017,$266.78 
o490401571,organic,23/09/2017,$266.78 
o430480468,organic,8/05/2017,$266.78 
o431791047,organic,1/05/2017,$266.78 
o1115800031,organic,19/07/2018,$266.78 
o431102598,organic,30/04/2017,$266.78 
o576161596,organic,22/10/2018,$266.78 
o984999235,organic,6/11/2018,$266.78 
o820904212,organic,12/03/2018,$266.78 
o486909677,organic,14/08/2017,$266.78 
o621683215,organic,12/04/2018,$266.78 
o550067849,organic,5/09/2017,$266.78 
o836926917,organic,22/03/2018,$266.78 
o225003198,organic,20/05/2017,$266.78 
o717044714,organic,4/05/2018,$266.78 
o590172232,organic,17/10/2017,$266.78 
o337789849,organic,4/08/2017,$266.78 
o1229405795,organic,22/08/2018,$266.78 
o822813182,organic,13/03/2018,$266.78 
o370048241,organic,3/07/2017,$266.78 
